chemical,water_type,month_start,metric,n,n_sites,nd_frac,mean_value,median_value,ci_low,ci_high
nitrate,surface_water,2023-08-01,median,3,4,0.40000000000000002,NULL,0.88400000000000001,1.2999999999999999E-2,2.4900000000000002
ortho,groundwater,2016-06-01,mean,5,5,0.0,6.4200000000000007E-2,NULL,0.0424,8.6199999999999985E-2
ortho,groundwater,2016-06-01,median,5,5,0.0,NULL,7.0000000000000007E-2,0.024,0.10199999999999999
ortho,groundwater,2016-07-01,mean,16,16,0.0,3.5562500000000004E-2,NULL,3.0062499999999999E-2,4.1812500000000002E-2
ortho,groundwater,2016-07-01,median,16,16,0.0,NULL,0.031,2.8000000000000001E-2,4.2000000000000003E-2
ortho,groundwater,2016-08-01,mean,20,20,0.0,4.6050000000000008E-2,NULL,3.0950000000000005E-2,6.7952499999999985E-2
ortho,groundwater,2016-08-01,median,20,20,0.0,NULL,3.2500000000000001E-2,2.1499999999999998E-2,4.5999999999999999E-2
ortho,groundwater,2016-09-01,mean,7,7,0.0,3.1142857142857142E-2,NULL,1.1714285714285715E-2,6.0428571428571429E-2
ortho,groundwater,2016-09-01,median,7,7,0.0,NULL,0.02,0.01,0.039
ortho,groundwater,2016-10-01,mean,5,1,0.0,8.7999999999999995E-2,NULL,8.7999999999999995E-2,8.7999999999999995E-2
ortho,groundwater,2016-10-01,median,5,1,0.0,NULL,5.3999999999999999E-2,5.3999999999999999E-2,5.3999999999999999E-2
ortho,groundwater,2016-11-01,mean,27,16,0.0,0.1051111111111111,NULL,6.1624375000000009E-2,0.13648394736842101
ortho,groundwater,2016-11-01,median,27,16,0.0,NULL,8.9999999999999997E-2,2.5999999999999999E-2,0.12756249999999966
ortho,groundwater,2016-12-01,mean,4,4,0.0,3.6499999999999998E-2,NULL,1.4499999999999999E-2,7.3749999999999996E-2
ortho,groundwater,2016-12-01,median,4,4,0.0,NULL,2.1499999999999998E-2,0.014,8.8999999999999996E-2
ortho,groundwater,2017-02-01,mean,3,1,0.0,7.5666666666666674E-2,NULL,7.5666666666666674E-2,7.5666666666666674E-2
ortho,groundwater,2017-02-01,median,3,1,0.0,NULL,6.7000000000000004E-2,6.7000000000000004E-2,6.7000000000000004E-2
ortho,groundwater,2017-03-01,mean,8,4,0.0,0.10012500000000001,NULL,7.4499999999999997E-2,0.127
ortho,groundwater,2017-03-01,median,8,4,0.0,NULL,0.10050000000000001,8.7999999999999995E-2,0.151
ortho,groundwater,2017-05-01,mean,25,15,0.0,7.1879999999999999E-2,NULL,4.6256578947368419E-2,9.1241594827586203E-2
ortho,groundwater,2017-05-01,median,25,15,0.0,NULL,0.055,2.8000000000000001E-2,8.0500000000000002E-2
ortho,groundwater,2017-08-01,mean,22,14,8.3333333333333329E-2,9.6318181818181831E-2,NULL,5.2240178571428562E-2,0.13222435897435897
ortho,groundwater,2017-08-01,median,22,14,8.3333333333333329E-2,NULL,0.078,2.9999999999999999E-2,0.17799999999999999
ortho,groundwater,2017-09-01,mean,2,6,0.80000000000000004,8.5000000000000006E-3,NULL,7.0000000000000001E-3,0.01
